Name,Price,Rating
"Lenovo IdeaPad 1 Laptop, 15.6” FHD Display, AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, Windows 11 Home, 720p Camera w/Privacy Shutter, Smart Noise Cancelling, Cloud Grey",9 capacities,4.4 out of 5 stars
"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",$304.99,4.1 out of 5 stars
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",$329.99,3.9 out of 5 stars
"HP 17 Business Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Pro, Silver",$249.99,4.3 out of 5 stars
"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",8 capacities,4.1 out of 5 stars
"Lenovo ‎Ideapad 3i ‎15.6"" Touchscreen Laptop Computer, ‎Windows 11 Home 40GB RAM 1TB SSD, Intel i3-1115G4, FHD ‎1920x1080 Display, Microsoft Office Lifetime License, Plusera Earphone, Arctic Grey",$183.49,4.1 out of 5 stars
"ASUS 15.6” Vivobook Go Laptop, Intel Celeron N4500, 4GB RAM, 128GB SSD, Windows 11 in S Mode, Star Black, L510KA-ES04",$209.99,4.1 out of 5 stars
"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black",7 capacities,4.2 out of 5 stars
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Silver",$498.99,4.4 out of 5 stars
"Lenovo Newest V15 Essential Laptop | 16GB RAM | 1TB SSD | 15.6"" FHD (1920 x 1080) Display | Intel Quad-core Processor | Ethernet RJ-45 | Windows 11 Pro | WOWPC 500GB External HDD",$6.78,4.3 out of 5 stars
"ASUS Chromebook CM14 Laptop, 14"" HD Anti-Glare Display (1366x768), MediaTek Kompanio 520, 4GB RAM, 64GB eMMC, ChromeOS, Gray, CM1402CM2A-DS44, Gravity Grey",3 capacities,4.3 out of 5 stars
"Apple 2024 MacBook Air 13-inch Laptop with M3 chip: 8GB Memory, 256GB Storage; Silver with AppleCare+ (3 Years)",$213.00,4.7 out of 5 stars
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",$269.00,4.2 out of 5 stars
"Lenovo IdeaPad 1 Student Laptop, 14"" HD Display Intel Celeron N4020, 4GB RAM, 128GB eMMC,Long Battery Life-Up to 11 Hours, Wi-Fi 6, Windows 11 Home Business Laptop",3 capacities,4.5 out of 5 stars
"jumper Laptop Computer, 16 Inch FHD Display, 5305U Processor, 12GB RAM, 640GB Storage(128GB eMMC+512GB SSD), 1 Year Office 365, WiFi, USB-A&C, Cooling System.",$599.99,4.6 out of 5 stars
"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver",$629.99,4.1 out of 5 stars
"Apple 2024 MacBook Air 15-inch Laptop with M3 chip: 8GB Memory, 256GB Storage; Starlight with AppleCare+ (3 Years)",$189.99,4.7 out of 5 stars
"HP 14 Pentium Portable Laptop Computer Student, 16GB RAM, 1TB SSD, Intel Quad-Core Silver N5030 (Beat i3-1005G1, Up to 3.1GHz), WiFi 6, Win 11 w/GM Accessories, one Year of Microsoft 365",$229.99,4.5 out of 5 stars
SideTrak Swivel Pro Touch 13.3” | Ultra Slim Attachable Portable Touchscreen Monitor for Laptop | FHD IPS Rotating Dual Laptop Screen | PC & Chrome Compatible | USB-C Connection,$493.00,4.2 out of 5 stars
"Original 230W 20V 11.5A Laptop Charger for Lenovo Legion 5 7 Y520-15 Y540 Y730 Y7000 Y7000P Y9000K AC Adapter Thinkpad P51 P52 P53 P70 P71 P72 P73,ADL230NLC3A ADL230NDC3A Power Supply Cord",$583.00,5.0 out of 5 stars
230W AC Power Adapter Charger Fit for HP Envy Omen ELITEBOOK ZBOOK 924942-001 925141-850 PA-1231-08HT HP17-AN012DX 19.5V 11.8A Laptop Power Supply,4 capacities,4 Stars & Up
